"platform","year_of_release","total_yearly_sales"
PS2,2000,39110000
PS2,2001,166430000
PS2,2002,205400000
PS2,2003,184290000
PS2,2004,211780000
PS2,2005,160650000
PS2,2006,103420000
PS2,2007,76000000
PS2,2008,53830000
PS2,2009,26450000
PS2,2010,5630000
PS2,2011,470000
PS3,2006,20950000
PS3,2007,73140000
PS3,2008,118480000
PS3,2009,130890000
PS3,2010,142380000
PS3,2011,156790000
PS3,2012,107270000
PS3,2013,113170000
PS3,2014,47630000
PS3,2015,16870000
PS3,2016,3580000
X360,2005,8270000
X360,2006,51660000
X360,2007,95430000
X360,2008,135250000
X360,2009,120280000
X360,2010,170080000
X360,2011,143940000
X360,2012,99650000
X360,2013,88580000
X360,2014,34780000
X360,2015,11950000
X360,2016,1520000
